,max_r2,min_r2,avg_r2,max_mape,min_mape,avg_mape,max_mse,min_mse,avg_mse,parameter,model
0,0.01510351085603019,-0.008076443118605248,0.003513533868712471,0.004659811127941574,0.003819397083442501,0.004239604105692038,0.06278590444847668,0.04262248556142664,0.05270419500495166,Температура_dinam_fact,Fedot
0,0.8575650607979963,-0.06998708926513908,0.3937889857664286,0.4367242655794241,0.3400805411964887,0.3884024033879564,101.47276465486347,-43.60280701335638,28.934978820753543,Лимфоциты#_dinam_fact,Fedot
0,0.13661215757125766,-0.005666694438950223,0.06547273156615371,0.41250091986055826,0.3490337639756116,0.3807673419180849,22940.574539866444,-2228.6085847551185,10355.982977555663,АСТ_dinam_fact,Fedot
0,0.05362678749379393,-0.01099675088869113,0.0213150183025514,2.5340221821987723,1.0002709377456012,1.7671465599721867,336.9081392990063,206.1887864118676,271.5484628554369,ЧСС_dinam_fact,Fedot
0,0.2005106733740902,0.07790288501181994,0.13920677919295507,0.07258464136761118,0.058661026187424956,0.06562283377751807,8.914666358456369,0.14876138562331942,4.531713872039845,ЧДД_dinam_fact,Fedot
0,0.628613524545846,0.2829441940141787,0.4557788592800123,0.6149174381268826,0.285545548278317,0.4502314932025998,78.14706520959491,13.9434443128808,46.04525476123786,Билирубин общий_dinam_fact,Fedot
0,0.9026666321828274,0.48796692349098164,0.6953167778369045,0.09751198393742355,0.041162170817480505,0.06933707737745202,1.2821424904305991,0.23687249547124534,0.7595074929509222,MPV- Средн.объем тромбоцитов_dinam_fact,Fedot
0,0.4590253756425851,0.30932599505757147,0.3841756853500783,0.35763536316485395,0.2528122821081003,0.3052238226364771,0.0067172188436075975,0.004062525389939963,0.00538987211677378,PCT- Тромбокрит_dinam_fact,Fedot
0,0.5535799432985641,0.407049651269486,0.48031479728402504,0.44856864444895056,0.38716567048689315,0.41786715746792186,101.60003454317541,69.1462257525753,85.37313014787536,Лимфоциты%_dinam_fact,Fedot
0,0.9815780587315065,0.7625281489156063,0.8720531038235564,21398617550952.008,-9304217705938.682,6047199922506.663,0.0513103604875783,0.007159702799722216,0.02923503164365026,снижение_сознания_dinam_fact,Fedot
0,0.016253873405197405,-0.06731156023659703,-0.02552884341569981,76692711729913.02,-6850063518278.25,34921324105817.383,1.8875060189081074,1.1227658896605515,1.5051359542843294,Cтепень тяжести по КТ_dinam_fact,Fedot
0,0.36219018935275704,0.2113561699144019,0.28677317963357946,0.26087252511049247,0.19044707539430933,0.2256598002524009,33543.8650283139,-1925.9308631064923,15808.967082603704,Лактатдегидрогеназа_dinam_fact,Fedot
0,0.7711481556434451,0.4906719497300175,0.6309100526867313,0.1007332843401206,0.08556735040443234,0.09315031737227647,4.264125724397055,2.509641339733081,3.386883532065068,PDW- Индекс расп.по объему тр._dinam_fact,Fedot
