,MSE,MAPE,R2
Температура,0.35340538003245775,0.35%,-0.03885546152319843
Лимфоциты#,0.12500713596550858,60.26%,0.08318936545531397
АСТ,0.967694279836221,71.58%,0.14695646615942515
ЧСС,0.8163325002538846,132.81%,-0.012660709724780972
ЧДД,0.319585217155173,7.95%,0.2642834610531236
Билирубин общий,0.6174133837347078,37.46%,0.1300572281315241
MPV- Средн.объем тромбоцитов,0.4307308788953086,9.34%,0.47847067069844823
PCT- Тромбокрит,0.832794591085493,34.54%,0.08340304392368762
Лимфоциты%,0.6505706833103043,46.15%,0.251724292284636
снижение_сознания,0.12813009390748564,26980188411701240.00%,0.8742051155562475
Cтепень тяжести по КТ,0.7315662314834444,3213528615024661.50%,-0.031224096551346347
Лактатдегидрогеназа,0.8403142958452365,24.85%,0.1729417157889467
PDW- Индекс расп.по объему тр.,0.410716747675122,12.67%,0.38914332419754166
