,MSE,MAPE,R2
Температура,0.3472379044771607,0.34%,-0.014277589259930435
Лимфоциты#,0.1676475623672303,55.25%,0.20954514451068987
АСТ,0.9689915686425381,77.93%,0.17268056450541044
ЧСС,0.8045414603854854,132.72%,0.0008946073511823194
ЧДД,0.3113880443727612,7.86%,0.28552694910559256
Билирубин общий,0.6563319105223914,39.19%,0.07691701886888709
MPV- Средн.объем тромбоцитов,0.426165507767952,9.23%,0.4798772533278086
PCT- Тромбокрит,0.784591708358998,33.96%,0.13549828618000145
Лимфоциты%,0.7411639228559712,49.61%,0.15191445104282691
снижение_сознания,0.10817725649548979,10250246774931096.00%,0.8798015184887527
Cтепень тяжести по КТ,0.7283634540526331,3190482599600283.00%,-0.027524133995620835
Лактатдегидрогеназа,0.8810857122505814,26.13%,0.15189023943846952
PDW- Индекс расп.по объему тр.,0.41424429224078524,12.95%,0.37310994591441793
