,MSE,MAPE,R2
Температура,0.34494608005377775,0.34%,-0.001459459244854977
Лимфоциты#,0.25629683943348974,50.74%,-0.07671193845454789
АСТ,0.9659089061323144,69.69%,0.17655501138083418
ЧСС,0.8031815447546766,132.49%,0.004173306983372283
ЧДД,0.3210190117035707,7.95%,0.2608234732668593
Билирубин общий,0.6226179845769582,36.27%,0.1461816963683163
MPV- Средн.объем тромбоцитов,0.5472323552682545,10.80%,0.33380361373924755
PCT- Тромбокрит,0.7581009279183861,33.23%,0.16332012346052502
Лимфоциты%,0.6213709583256908,44.49%,0.28577154122335696
снижение_сознания,0.1015932163215654,14490992222337440.00%,0.8969551407079612
Cтепень тяжести по КТ,0.7261540980449599,3167903486477495.50%,-0.022809374118357262
Лактатдегидрогеназа,0.8417470650986969,24.04%,0.18384337218629795
PDW- Индекс расп.по объему тр.,0.5010878752005061,14.26%,0.22430623503715533
