,MSE,MAPE,R2
Температура,0.3474721968286266,0.34%,-0.014042675788960967
Лимфоциты#,0.14548638145081463,65.18%,-0.1049357636937488
АСТ,0.8617872419965027,76.74%,0.20855897430446518
ЧСС,0.8169875342144017,132.76%,-0.012363781842246447
ЧДД,0.30824717441366534,7.80%,0.28836906219026703
Билирубин общий,0.5839836402939265,36.01%,0.13833937271056057
MPV- Средн.объем тромбоцитов,0.376396909006961,8.58%,0.5386240152976809
PCT- Тромбокрит,0.7100701724267278,32.22%,0.2180086711362695
Лимфоциты%,0.6159934022128473,45.33%,0.29213938395589045
снижение_сознания,0.1323967739005147,30550524495666212.00%,0.8583270990046212
Cтепень тяжести по КТ,0.7294698874687274,3222181186567490.00%,-0.02866164230326207
Лактатдегидрогеназа,0.7593338532594283,24.01%,0.23292801816007175
PDW- Индекс расп.по объему тр.,0.3805656299737002,12.30%,0.43473997097355943
